country,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,2470,2250,1650,1200,1560,1520,1400,1290,1190,1090,980,1440,1520,1480,1530,1590,1750,1810,2080,2230,2270,2450,2380,2290,2200,2150,2150,2170,2210,2240,2300,2360
Albania,3780,3580,4310,4750,5440,5860,4930,5540,6370,6580,7120,7220,7620,8020,8470,8890,9400,10200,10700,11200,11100,10700,11800,12000,11700,11800,12100,12600,13100,13600,14200,14800
Algeria,17400,17500,16800,16400,17400,16800,15800,16500,17000,17600,17100,17300,17600,16600,16700,16100,16600,16200,15900,16100,16200,16600,16200,17600,18100,18400,18300,18500,18500,18700,18900,19200
Angola,8130,7300,5310,5340,5770,6230,6510,6740,6740,6720,6780,6130,6180,6630,7350,8330,9590,10200,9800,9530,9320,9450,9740,9840,9770,9430,9230,9150,9120,9140,9050,9030
Argentina,16800,18500,20000,21100,21900,22200,22800,22700,22000,21700,21000,19100,19300,20100,21200,22200,23700,24500,22800,25200,25700,25200,25600,24900,25200,24700,25200,25600,26200,27100,27800,28500
Armenia,3950,2340,2270,2480,2720,3000,3180,3370,3560,3810,4200,4790,5490,6100,6980,7960,9120,9810,8410,8280,8460,8970,9060,9550,10000,9980,10600,11000,11500,12000,12500,13100
Australia,78900,79600,82500,83100,83300,85600,88200,90500,93300,94500,95300,97100,98000,100000,99800,100000,101000,102000,103000,103000,103000,106000,108000,110000,111000,112000,113000,114000,116000,118000,120000,121000
Austria,76600,77000,77200,76300,78000,81000,82900,85400,87100,89800,90700,91000,91100,97200,96200,97800,98800,98400,94700,95300,96800,96600,96200,96800,97400,98200,100000,102000,104000,105000,106000,107000
Azerbaijan,8190,6080,4550,3590,3100,3210,3370,3660,3890,4210,4470,4790,5150,5460,6680,8720,10600,11400,12200,12600,12400,12400,12900,12900,12800,12200,12000,12200,12500,12800,13200,13600
Bahamas,50300,48200,45900,46600,46000,47500,46800,47000,49300,50300,49800,50700,49500,48100,48200,46700,46300,44200,44100,43600,43100,43300,43500,41300,39300,39100,39200,39500,39800,40000,39900,40100
Bahrain,45100,46500,50600,48600,48600,49400,49500,50300,50400,50600,48700,47000,46000,45100,43800,42200,41100,39600,37300,36400,36500,37200,38800,39900,40100,40500,40800,40900,41000,41200,42300,43500
Bangladesh,1260,1290,1310,1320,1340,1360,1380,1400,1420,1460,1490,1510,1550,1590,1660,1720,1820,1910,1980,2030,2130,2230,2330,2430,2550,2680,2850,3010,3190,3370,3550,3740
Barbados,33200,30700,31100,30700,29600,29100,30300,30500,29900,30700,29900,30100,30800,30400,31200,32700,32700,33000,32300,32700,33000,33600,33100,34300,34000,33400,34500,34900,35400,36100,36800,37500
Belarus,6710,6060,5600,4950,4420,4550,5060,5480,5640,5920,6160,6430,6830,7570,8220,9000,9720,10600,10600,11400,11900,12100,12200,12400,11900,11700,12000,12500,12900,13200,13600,14000
Belgium,89300,89600,89500,92500,93600,95200,97700,99300,99500,99800,103000,104000,105000,106000,106000,108000,109000,108000,106000,107000,109000,109000,109000,110000,111000,111000,112000,113000,114000,116000,118000,120000
Belize,9680,11000,11800,11700,11600,11400,11100,11100,11300,11900,11700,11900,12600,12600,12500,12200,11700,11500,11300,11400,11300,11400,11000,11200,11000,10300,10500,10400,10400,10400,10300,10300
Benin,1590,1580,1610,1580,1610,1630,1670,1680,1720,1770,1810,1830,1840,1850,1830,1850,1900,1940,1930,1920,1950,1990,2070,2130,2110,2130,2170,2240,2310,2390,2490,2560
Bhutan,2230,2370,2470,2640,2850,2950,3010,3050,3140,3200,3240,3350,3370,3380,3440,3520,4010,4060,4200,4650,5010,5250,5230,5540,5570,5800,6120,6600,6940,7260,7600,7930
Bolivia,3680,3640,3710,3660,3740,3850,3800,3930,3890,3900,3890,3870,3830,3860,3940,3990,4170,4200,4260,4320,4440,4750,4950,4940,5450,5540,5670,5790,5920,6040,6160,6290
Bosnia and Herzegovina,1890,1850,1930,2340,3000,5740,7790,9040,9970,10400,10800,11600,12000,12900,14000,15000,15300,15000,14800,15600,16000,16200,16700,17100,17900,17700,18400,19200,20000,20800,21600,22500
Botswana,13400,13600,13700,14300,14900,15300,16000,15600,16400,16000,16000,16900,17700,17200,17100,17200,18200,18800,16900,19100,18500,17800,18600,18900,18100,18200,18200,18700,19200,19700,20200,20800
Brazil,20800,20300,20500,21000,21300,21400,21700,21400,21100,21400,21100,21000,20900,21200,21500,21700,22700,23300,23000,24500,25300,25700,26000,25800,24900,24600,25200,25300,25900,26600,27100,27700
Brunei,91200,92400,89500,89200,89900,89700,85500,82200,81800,81200,81500,82700,83100,81500,79800,82200,81000,78100,75400,75900,77000,75900,72600,69400,68000,65400,64100,68500,69700,71200,72600,73600
Bulgaria,10400,9730,9780,10000,10000,10100,10200,10600,10500,11600,12300,12900,13100,13500,14500,14800,15200,15600,15400,16400,17400,17500,17700,17700,18000,18700,19200,19800,20400,20900,21400,21900
Burkina Faso,826,811,822,815,842,916,954,1000,1050,1050,1100,1120,1190,1220,1310,1340,1400,1480,1490,1600,1680,1760,1780,1830,1850,1890,1970,2050,2120,2190,2260,2340
Burundi,735,738,689,659,605,555,546,570,560,547,541,545,518,522,506,515,520,527,527,530,539,547,558,570,530,510,493,478,485,494,504,516
Cambodia,710,731,733,778,802,820,850,873,919,957,931,966,1030,1120,1220,1290,1360,1390,1350,1380,1450,1530,1610,1690,1780,1870,1970,2070,2180,2300,2430,2570
Cameroon,3090,2920,2610,2590,2630,2690,2750,2810,2840,2870,2920,2930,2940,2940,2890,2880,2870,2870,2850,2870,2910,2960,3030,3120,3210,3260,3290,3330,3390,3470,3540,3620
Canada,75100,76600,78300,80200,81000,81700,83500,84500,86500,88900,89500,90100,89400,90600,92300,93000,92600,92100,90800,92300,93900,94400,95400,97300,97500,98300,99600,100000,101000,103000,104000,105000
Cape Verde,3180,3430,3610,4170,4610,4980,5390,5900,6400,7110,7050,7200,7290,7810,8130,8550,9600,9980,9580,9490,9650,9510,9350,9190,9070,9220,9400,9630,9880,10100,10400,10700
Central African Republic,1180,1080,1050,1070,1120,1050,1080,1110,1120,1070,1090,1110,1030,1080,1070,1100,1130,1140,1140,1160,1200,1250,789,800,837,865,890,919,951,986,1020,1050
Chad,1520,1600,1310,1400,1370,1360,1390,1440,1380,1320,1430,1490,1650,2130,2410,2340,2340,2330,2350,2580,2490,2620,2670,2760,2710,2430,2360,2390,2460,2510,2530,2560
Chile,17600,18700,19100,20000,21500,23100,24100,24600,25000,26300,26600,27100,27400,28200,29300,30200,30100,30500,30300,29800,30200,31200,31900,32100,32300,32600,32900,33800,34500,35200,35800,36500
China,1420,1590,1780,1990,2190,2370,2560,2750,2930,3140,3380,3650,3980,4340,4790,5370,6080,6680,7280,8030,8770,9450,10200,10900,11600,12400,13300,14200,15200,16100,17100,18100
Colombia,14000,14200,13800,14100,14400,14600,14600,14600,14300,14400,13200,13200,13000,13200,13000,13600,13800,13900,13800,13800,14200,14300,14700,15000,15200,15400,15600,15800,16200,16600,17000,17500
Comoros,3630,3830,3820,3500,3520,3370,3410,3350,3320,3580,3570,3550,3520,3490,3480,3470,3400,3310,3270,3240,3230,3230,3240,3210,3140,3120,3140,3180,3230,3290,3340,3400
